loan_id,current_balance,payment_status,days_past_due,servicer_name,last_updated_at
LN-87778598,116501.3,current,55,Highline Capital Servicing,2026-06-14
LN-14999685,249226.8,delinquent_90,39,Coastal Trust Servicing,2025-11-05
LN-14679471,109199.26,delinquent_90,74,Highline Capital Servicing,2025-06-21
LN-41636600,99117.82,current,77,Coastal Trust Servicing,2026-07-19
LN-94583655,201908.48,delinquent_60,114,Meridian Loan Servicing,2026-07-11
LN-22585512,127133.44,delinquent_60,63,Coastal Trust Servicing,2026-01-19
LN-75530797,267454.47,closed,7,Meridian Loan Servicing,2026-02-09
LN-34311013,120768.6,delinquent_60,119,Coastal Trust Servicing,2025-12-23
LN-66724354,195509.5,delinquent_90,38,Meridian Loan Servicing,2025-09-16
LN-02157876,202507.62,delinquent_30,92,Highline Capital Servicing,2025-11-21
LN-71772138,478135.26,closed,92,Highline Capital Servicing,2026-05-31
LN-46881850,279889.82,closed,108,Meridian Loan Servicing,2026-01-15
LN-39845670,425890.94,delinquent_60,59,Coastal Trust Servicing,2026-03-10
LN-27526875,256099.21,current,66,Coastal Trust Servicing,2025-06-12
LN-04271765,74099.65,delinquent_90,80,Meridian Loan Servicing,2025-07-05
LN-68059612,34505.99,delinquent_90,67,Highline Capital Servicing,2026-04-20
LN-17442723,327738.21,current,7,Meridian Loan Servicing,2026-06-11
LN-88885492,65234.49,delinquent_60,99,Coastal Trust Servicing,2026-04-05
LN-64932071,113804.93,delinquent_60,39,Meridian Loan Servicing,2026-01-13
LN-44881081,28524.67,delinquent_30,51,Highline Capital Servicing,2026-01-06
LN-22698071,322750.4,delinquent_60,39,Coastal Trust Servicing,2026-06-22
LN-35235529,240851.27,delinquent_90,14,Meridian Loan Servicing,2026-03-03
LN-09190347,85751.76,delinquent_90,8,Coastal Trust Servicing,2025-08-26
LN-46187763,222191.4,delinquent_90,82,Meridian Loan Servicing,2025-10-30
LN-62589142,422190.11,delinquent_90,36,Coastal Trust Servicing,2025-12-31
LN-34094883,151427.61,closed,94,Highline Capital Servicing,2025-12-09
LN-16919540,80936.99,delinquent_90,114,Meridian Loan Servicing,2026-05-21
LN-12778262,44740.76,current,81,Coastal Trust Servicing,2026-07-30
LN-07493681,223596.4,closed,13,Highline Capital Servicing,2025-12-30
LN-69792730,396359.73,delinquent_60,15,Meridian Loan Servicing,2026-07-11
LN-35491332,522731.44,delinquent_60,43,Coastal Trust Servicing,2026-01-11
LN-29179669,91767.74,current,92,Highline Capital Servicing,2026-04-04
LN-86197217,160388.36,current,60,Highline Capital Servicing,2026-04-25
LN-70278360,28733.36,delinquent_60,80,Coastal Trust Servicing,2025-12-09
LN-90210669,13765.93,delinquent_30,3,Meridian Loan Servicing,2025-07-07
LN-18692644,40809.84,current,99,Highline Capital Servicing,2025-07-24
LN-86521479,252860.68,delinquent_30,44,Coastal Trust Servicing,2025-08-29
LN-31269406,45273.68,delinquent_30,73,Coastal Trust Servicing,2026-03-11
LN-25922276,260022.76,delinquent_90,88,Meridian Loan Servicing,2025-10-11
LN-20557107,206855.6,delinquent_60,43,Coastal Trust Servicing,2026-04-17
LN-84682031,481960.41,current,63,Highline Capital Servicing,2025-10-26
LN-25490213,382868.69,delinquent_60,55,Highline Capital Servicing,2025-08-19
LN-84858941,59978.81,delinquent_90,39,Meridian Loan Servicing,2026-06-24
LN-09549625,70140.37,delinquent_60,27,Highline Capital Servicing,2025-11-05
LN-51845789,250612.71,delinquent_30,100,Meridian Loan Servicing,2025-06-13
LN-86215310,263236.53,current,35,Meridian Loan Servicing,2025-06-02
LN-05537536,133291.62,closed,51,Meridian Loan Servicing,2026-01-21
LN-87581448,97178.7,delinquent_60,20,Coastal Trust Servicing,2025-07-02
LN-98110601,428308.57,current,92,Highline Capital Servicing,2026-02-18
LN-42673817,100892.67,current,79,Highline Capital Servicing,2026-01-18
LN-16057244,381456.66,delinquent_90,21,Highline Capital Servicing,2025-06-18
LN-56788012,305021.06,delinquent_30,20,Meridian Loan Servicing,2026-06-12
LN-15346110,62869.12,delinquent_90,92,Coastal Trust Servicing,2025-09-08
LN-18851844,121415.45,current,47,Coastal Trust Servicing,2025-06-01
LN-81092064,460173.72,delinquent_60,5,Highline Capital Servicing,2026-03-18
LN-16134964,125723.35,current,86,Coastal Trust Servicing,2026-06-29
LN-83779376,205965.15,closed,66,Highline Capital Servicing,2025-10-18
LN-94619152,152551.12,delinquent_30,27,Highline Capital Servicing,2025-10-07
LN-43927383,34518.82,delinquent_60,9,Meridian Loan Servicing,2026-06-16
