loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
,BR-923843,jumbo,2024-03-28,2043-12-14,547713.2,388650.09,7.026,240,MO,refinance,B,15,<40k,current,0,Meridian Loan Servicing,2025-08-24,2026-02-06,missing,origination_sys_b
LN-89072630,BR-365968,jumbo,2023-11-17,2033-09-25,578288.51,332943.67,7.862,120,AZ,cash_out_refinance,A,7,75k-120k,current,0,Meridian Loan Servicing,2025-12-20,2025-12-27,complete,origination_sys_b
LN-07231557,BR-108629,fha,2024-06-26,2034-05-05,513410.73,180562.85,4.661,120,SD,refinance,D,8,<40k,current,0,Highline Capital Servicing,2025-04-16,2025-06-15,missing,manual_spreadsheet
LN-43981332,BR-608308,conventional,2019-11-20,2029-09-28,331785.98,217740.93,8.053,120,WV,refinance,C,24,40k-75k,current,0,Coastal Trust Servicing,2023-11-02,2025-10-07,complete,manual_spreadsheet
LN-96345702,BR-711595,va,2020-01-25,2039-10-12,466325.74,157250.11,7.652,240,KY,refinance,C,23,75k-120k,current,0,Meridian Loan Servicing,2025-04-26,2025-07-20,complete,origination_sys_a
LN-03213723,BR-636469,va,2023-03-25,2038-01-05,570280.14,190710.69,8.076,180,IA,cash_out_refinance,A,20,120k+,closed,0,Coastal Trust Servicing,2024-12-02,2025-12-05,missing,origination_sys_b
LN-14679471,BR-404490,va,2019-08-27,2034-06-09,105847.68,97207.3,4.586,180,NH,purchase,C,3,75k-120k,closed,0,Coastal Trust Servicing,2023-09-04,2026-03-03,complete,origination_sys_b
LN-69039728,BR-558277,conventional,2020-07-19,2035-05-02,-40838.39,90573.91,4.886,180,GA,purchase,C,25,40k-75k,delinquent_60,66,Meridian Loan Servicing,2020-11-01,2026-04-25,complete,origination_sys_a
LN-10435426,BR-796360,jumbo,2021-01-03,2035-10-17,415646.17,389288.42,7.736,180,NV,cash_out_refinance,A,15,120k+,current,0,Meridian Loan Servicing,2026-01-18,2026-02-25,complete,origination_sys_b
LN-95460786,BR-772423,jumbo,2022-05-30,2037-03-12,117438.87,124099.11,5.494,180,WA,purchase,C,13,75k-120k,current,0,Coastal Trust Servicing,2023-11-03,2025-12-13,partial,origination_sys_a
LN-10956489,BR-490231,fha,2022-11-07,2052-06-02,118265.99,28737.91,4.274,360,NM,purchase,A,11,75k-120k,current,76,Meridian Loan Servicing,2024-05-30,2026-07-21,missing,origination_sys_a
LN-09821733,BR-085416,conventional,2023-07-12,2053-02-04,561738.44,68327.27,3.959,360,ND,purchase,D,13,120k+,delinquent_30,39,Highline Capital Servicing,2024-05-29,2026-03-13,partial,origination_sys_b
LN-66264427,BR-142646,conventional,2023-01-17,2042-10-04,522796.3,244431.05,4.603,240,RI,purchase,A,6,75k-120k,current,0,Meridian Loan Servicing,2023-10-25,2026-06-22,partial,origination_sys_b
LN-58808009,BR-855741,conventional,2020-11-02,2030-09-11,84406.05,26591.11,8.331,120,HI,cash_out_refinance,D,26,75k-120k,current,0,Meridian Loan Servicing,2025-09-25,2025-09-26,complete,origination_sys_a
LN-15159378,BR-821167,conventional,2021-06-11,2051-01-05,378658.65,232344.31,4.386,360,WY,cash_out_refinance,D,14,120k+,current,0,Coastal Trust Servicing,2026-05-22,2026-07-04,missing,manual_spreadsheet
LN-32053408,BR-088654,conventional,2022-07-25,2042-04-11,572620.72,238705.65,5.749,240,OR,cash_out_refinance,B,10,120k+,current,0,Coastal Trust Servicing,2023-05-29,2026-04-20,complete,origination_sys_b
LN-95639376,BR-063353,va,2019-07-31,2039-04-17,639959.78,562089.63,7.119,240,TX,cash_out_refinance,B,10,<40k,current,0,Coastal Trust Servicing,2021-03-01,2026-01-11,partial,origination_sys_b
LN-31799906,BR-503937,fha,2024-06-04,2053-12-29,153502.45,53340.73,4.633,360,FL,purchase,A,9,<40k,current,0,Coastal Trust Servicing,2025-12-08,2026-07-11,missing,manual_spreadsheet
LN-66970379,BR-677229,jumbo,2019-03-19,2038-12-04,579543.88,246116.79,8.02,240,IL,refinance,D,14,75k-120k,current,0,Highline Capital Servicing,2024-11-06,2026-07-31,missing,origination_sys_b
LN-85188272,BR-914924,va,2024-06-01,2039-03-15,545628.01,146735.55,8.152,180,NE,purchase,D,16,75k-120k,current,0,Meridian Loan Servicing,2025-07-01,2026-02-02,complete,origination_sys_b
LN-09487469,BR-021964,va,2020-04-04,2030-02-11,261650.38,226531.49,4.688,120,DE,purchase,B,13,120k+,delinquent_30,35,Meridian Loan Servicing,2021-07-02,2025-08-10,,manual_spreadsheet
LN-35165395,BR-750803,va,2022-01-02,2031-11-11,440214.32,203031.1,4.768,120,AK,refinance,A,11,40k-75k,delinquent_30,34,Coastal Trust Servicing,2025-09-08,2026-04-11,missing,origination_sys_a
LN-94117902,BR-783338,jumbo,2023-04-30,2043-01-15,156043.47,101513.43,4.767,240,WI,cash_out_refinance,B,9,75k-120k,current,0,Meridian Loan Servicing,2025-03-09,2026-01-24,partial,origination_sys_a
LN-63720449,BR-121324,jumbo,2023-06-26,2043-03-13,329062.29,200721.91,4.333,240,NH,refinance,D,1,75k-120k,current,0,Coastal Trust Servicing,2025-12-02,2026-02-10,partial,manual_spreadsheet
LN-91670073,BR-356693,conventional,2024-06-30,2034-05-09,122773.46,50105.61,6.37,120,ND,refinance,D,10,75k-120k,current,97,Meridian Loan Servicing,2024-10-24,2025-08-21,complete,manual_spreadsheet
LN-26692101,BR-798996,conventional,2020-01-17,2049-08-12,375114.81,65078.24,6.25,360,ME,refinance,B,22,40k-75k,current,0,Highline Capital Servicing,2025-09-30,2026-01-15,complete,origination_sys_a
LN-91803744,BR-451304,va,31/02/2021,2034-11-29,214939.63,113935.49,4.142,180,WY,cash_out_refinance,B,24,40k-75k,current,0,Highline Capital Servicing,2025-10-06,2026-07-17,complete,origination_sys_a
LN-82651355,BR-191676,conventional,2021-11-27,2036-09-09,253350.99,205804.12,7.626,180,AK,purchase,A,30,75k-120k,delinquent_90,108,Coastal Trust Servicing,2023-02-01,2025-10-24,missing,origination_sys_b
LN-84461443,BR-183933,va,2022-06-19,2032-04-27,363881.69,378012.77,6.075,120,CT,refinance,B,14,<40k,current,0,Highline Capital Servicing,2024-12-25,2026-07-18,complete,origination_sys_a
LN-35374543,BR-095923,conventional,2019-07-18,2029-05-26,245420.84,153013.18,4.907,120,RI,cash_out_refinance,D,9,<40k,current,0,Meridian Loan Servicing,2024-05-17,2026-07-22,complete,origination_sys_b
LN-50572961,BR-937397,fha,2023-01-29,2042-10-16,515398.36,329315.46,6.512,240,MT,cash_out_refinance,A,1,<40k,current,0,Meridian Loan Servicing,2024-12-11,2025-12-03,partial,manual_spreadsheet
LN-97238572,BR-836957,conventional,2021-07-24,2036-05-06,425568.5,217814.52,6.485,180,KY,cash_out_refinance,B,23,<40k,current,0,Coastal Trust Servicing,2024-04-02,2025-12-19,complete,manual_spreadsheet
LN-44425648,BR-775594,jumbo,2022-07-12,2052-02-05,164232.15,60992.89,5.069,360,ID,refinance,C,17,75k-120k,current,0,Coastal Trust Servicing,2026-07-27,2025-06-10,missing,manual_spreadsheet
LN-77644597,BR-255833,fha,2023-07-04,2043-03-21,427743.65,336452.66,4.952,240,ME,cash_out_refinance,A,11,120k+,current,0,Coastal Trust Servicing,2024-12-10,2025-10-31,missing,origination_sys_b
LN-72092213,BR-461991,jumbo,2020-03-14,2034-12-26,551932.47,397135.94,5.887,180,IL,refinance,C,9,<40k,current,0,Meridian Loan Servicing,2022-10-21,2026-04-12,missing,manual_spreadsheet
LN-71782026,BR-934658,fha,2023-01-20,2032-11-28,600540.94,481150.36,7.755,120,NJ,refinance,B,25,<40k,current,80,Highline Capital Servicing,2023-12-18,2025-12-21,missing,origination_sys_b
LN-16644340,BR-949034,va,2022-08-20,2042-05-07,489600.96,459259.62,8.27,240,MD,cash_out_refinance,A,8,75k-120k,current,79,Coastal Trust Servicing,2023-12-16,2026-06-23,complete,manual_spreadsheet
LN-31926211,BR-764545,fha,2019-08-31,2049-03-26,254879.61,154303.07,7.309,360,UT,cash_out_refinance,A,16,120k+,current,0,Coastal Trust Servicing,2023-09-20,2026-06-30,complete,manual_spreadsheet
LN-84674840,BR-145563,conventional,2019-08-18,2029-06-26,552401.21,100838.11,5.48,120,AL,cash_out_refinance,B,18,<40k,current,0,Meridian Loan Servicing,2024-05-18,2025-11-15,partial,manual_spreadsheet
LN-77964938,BR-936656,va,2019-05-11,2029-03-19,612712.2,546131.05,4.093,120,OH,refinance,B,23,40k-75k,delinquent_90,101,Meridian Loan Servicing,2019-08-12,2025-09-01,partial,origination_sys_b
LN-97184780,BR-210570,conventional,31/02/2021,2052-05-06,383202.16,95855.58,5.511,360,IA,cash_out_refinance,B,24,<40k,current,0,Meridian Loan Servicing,2025-08-07,2025-09-05,partial,origination_sys_a
LN-54255716,BR-503635,jumbo,2023-07-29,2043-04-15,409160.64,120024.21,5.541,240,MD,refinance,B,24,120k+,delinquent_30,33,Meridian Loan Servicing,2024-11-01,2026-05-05,partial,manual_spreadsheet
LN-22698071,BR-266817,fha,2019-10-23,2049-05-18,601402.47,283845.09,5.897,360,MI,refinance,A,6,40k-75k,closed,0,Coastal Trust Servicing,2021-02-14,2025-12-16,missing,origination_sys_b
LN-24633848,BR-773230,fha,31/02/2021,2038-11-29,476506.98,167633.59,7.206,180,AK,refinance,D,9,40k-75k,current,0,Meridian Loan Servicing,2025-01-18,2026-07-03,complete,origination_sys_b
LN-64171749,BR-560089,conventional,2022-03-12,2036-12-23,364601.84,143501.17,7.322,180,NE,purchase,B,2,40k-75k,current,0,Meridian Loan Servicing,2023-06-02,2026-06-06,missing,origination_sys_b
LN-05052908,BR-689101,fha,2021-02-03,2030-12-13,432166.08,165631.31,6.599,120,KY,refinance,C,25,120k+,current,0,Meridian Loan Servicing,2023-03-09,2025-06-09,partial,origination_sys_b
LN-70350014,BR-475805,conventional,2022-03-03,2036-12-14,644432.83,488493.83,4.649,180,VT,cash_out_refinance,D,8,<40k,current,0,Meridian Loan Servicing,2026-01-02,2026-04-29,partial,manual_spreadsheet
LN-88925586,BR-537760,va,2022-02-28,2032-01-07,182232.07,41391.56,3.768,120,NV,purchase,A,10,120k+,current,0,Highline Capital Servicing,2022-04-29,2026-06-21,missing,origination_sys_b
LN-60677017,BR-673103,va,2023-05-24,2052-12-17,359643.97,232891.22,7.307,360,CT,purchase,A,5,120k+,delinquent_90,118,Highline Capital Servicing,2026-07-07,2026-03-27,missing,manual_spreadsheet
LN-04775925,BR-612211,va,2021-04-15,2031-02-22,94969.29,61651.49,5.606,120,NM,purchase,C,8,40k-75k,current,0,Coastal Trust Servicing,2024-10-16,2025-12-15,partial,manual_spreadsheet
LN-83388913,BR-923992,jumbo,2022-06-16,2037-03-29,340981.13,284662.61,8.339,180,KS,refinance,D,8,120k+,current,0,Highline Capital Servicing,2023-02-04,2025-12-12,missing,origination_sys_a
LN-78087613,BR-214345,jumbo,2022-04-27,2037-02-07,-48733.65,226048.52,6.172,180,VT,refinance,A,25,75k-120k,closed,0,Coastal Trust Servicing,2025-04-30,2026-01-11,missing,manual_spreadsheet
LN-56693710,BR-275623,jumbo,2024-02-16,2033-12-25,142340.57,105190.2,7.362,120,PA,cash_out_refinance,B,11,<40k,current,0,Highline Capital Servicing,2024-06-02,2025-06-23,partial,origination_sys_b
LN-24446338,BR-186619,fha,2024-02-29,2034-01-07,146159.52,21986.08,6.08,120,OK,purchase,C,17,120k+,current,0,Highline Capital Servicing,2024-10-23,2026-07-07,partial,manual_spreadsheet
LN-53727801,BR-813428,va,2020-01-13,2034-10-26,445072.96,259337.66,6.485,180,SC,refinance,A,11,75k-120k,current,0,Highline Capital Servicing,2021-12-19,2026-01-17,missing,manual_spreadsheet
LN-13135544,BR-599112,fha,2023-06-28,2043-03-15,603649.07,270650.22,5.073,240,NH,cash_out_refinance,A,27,75k-120k,current,0,Meridian Loan Servicing,2026-03-16,2025-11-04,complete,origination_sys_a
LN-84007225,BR-147751,conventional,2023-07-28,2053-02-20,629382.58,327516.65,45.0,360,OH,refinance,A,24,120k+,current,0,Coastal Trust Servicing,2024-10-17,2026-05-30,partial,origination_sys_a
LN-81827686,BR-467885,va,31/02/2021,2037-11-29,249694.09,25115.29,6.484,180,HI,refinance,C,9,75k-120k,current,0,Coastal Trust Servicing,2023-08-30,2026-01-11,complete,origination_sys_b
LN-78764524,BR-468052,va,2024-02-25,2034-01-03,645717.15,137543.92,5.773,120,NY,refinance,A,27,<40k,current,0,Coastal Trust Servicing,2025-06-08,2025-08-14,missing,manual_spreadsheet
LN-28355436,BR-007418,jumbo,2022-11-29,2042-08-16,564560.56,154505.41,5.783,240,ZZ,purchase,B,28,75k-120k,current,0,Meridian Loan Servicing,2024-06-12,2026-02-09,complete,manual_spreadsheet
LN-77400205,BR-540318,fha,2021-01-08,2040-09-25,126979.7,48908.45,5.889,240,IA,refinance,A,23,<40k,current,0,Meridian Loan Servicing,2022-10-11,2025-11-04,partial,origination_sys_b
LN-56132796,BR-428117,va,2019-10-08,2049-05-03,520872.48,161374.56,8.316,360,MA,purchase,B,8,<40k,current,0,Meridian Loan Servicing,2025-12-21,2026-02-27,missing,manual_spreadsheet
LN-55720894,BR-145599,va,2023-01-16,2042-10-03,524012.7,190266.57,4.16,240,OR,refinance,C,17,40k-75k,delinquent_60,73,Highline Capital Servicing,2023-06-14,2025-09-14,complete,manual_spreadsheet
LN-65470562,BR-352853,conventional,2019-05-19,2029-03-27,229445.61,210205.95,5.051,120,NV,cash_out_refinance,B,1,40k-75k,current,0,Meridian Loan Servicing,2024-04-01,2025-10-25,complete,origination_sys_b
LN-71957711,BR-728708,va,2022-06-07,2032-04-15,256295.34,81901.87,6.119,120,KY,cash_out_refinance,A,15,120k+,delinquent_30,31,Coastal Trust Servicing,2024-06-13,2025-08-10,complete,origination_sys_b
LN-70800391,BR-908762,fha,2023-10-26,2038-08-08,289582.03,212307.45,5.581,180,WA,refinance,C,26,<40k,current,0,Coastal Trust Servicing,2024-11-10,2025-09-25,complete,manual_spreadsheet
LN-73043277,BR-239977,fha,2022-10-10,2032-08-18,182226.28,48529.17,4.253,120,NE,purchase,B,17,75k-120k,closed,0,Coastal Trust Servicing,2022-10-29,2025-10-23,partial,origination_sys_a
LN-99120284,BR-847556,jumbo,2023-04-04,2052-10-28,563933.41,187151.01,3.874,360,OR,purchase,D,21,40k-75k,current,0,Meridian Loan Servicing,2024-11-21,2026-02-07,partial,origination_sys_b
LN-17114313,BR-744808,va,2024-03-11,2053-10-05,479413.6,155785.48,7.632,360,VT,cash_out_refinance,A,6,75k-120k,current,0,Meridian Loan Servicing,2024-06-12,2025-09-12,missing,origination_sys_a
LN-85501710,BR-721469,conventional,2024-06-06,2044-02-22,-20757.2,277840.17,6.412,240,KY,purchase,A,2,40k-75k,current,0,Coastal Trust Servicing,2025-09-03,2025-12-25,complete,origination_sys_a
LN-74343924,BR-166648,jumbo,2024-01-28,2043-10-15,149840.77,22335.48,3.805,240,LA,refinance,B,13,40k-75k,current,0,Coastal Trust Servicing,2026-07-21,2026-07-26,missing,origination_sys_a
LN-95313287,BR-095799,conventional,2022-07-15,2032-05-23,643960.06,183767.91,4.739,120,KS,refinance,A,24,40k-75k,current,0,Coastal Trust Servicing,2024-09-17,2025-11-24,partial,origination_sys_a
LN-79551984,BR-340225,conventional,2019-12-27,2034-10-09,417736.12,110583.65,5.159,180,SC,purchase,B,10,40k-75k,current,0,Highline Capital Servicing,2020-08-26,2026-05-27,complete,origination_sys_a
LN-31311979,BR-619697,fha,2022-04-16,2037-01-27,521388.9,120175.58,6.828,180,ID,refinance,C,23,75k-120k,delinquent_60,56,Meridian Loan Servicing,2023-04-14,2026-05-06,missing,origination_sys_a
LN-92591729,BR-180768,jumbo,2024-04-27,2053-11-21,564931.47,166538.5,3.557,360,IN,purchase,A,11,75k-120k,current,0,Meridian Loan Servicing,2026-05-04,2026-07-20,complete,origination_sys_a
LN-51486610,BR-823901,jumbo,31/02/2021,2050-09-25,497573.16,62825.3,4.305,360,CA,cash_out_refinance,A,10,120k+,delinquent_60,73,Coastal Trust Servicing,2021-05-03,2025-11-27,partial,manual_spreadsheet
LN-77222058,BR-134266,fha,2019-12-04,2049-06-29,169549.15,146478.74,3.985,360,IN,purchase,C,2,120k+,current,0,Meridian Loan Servicing,2023-05-20,2026-03-11,partial,origination_sys_b
LN-42422076,BR-035955,jumbo,2021-09-28,2041-06-15,131948.02,64323.72,7.592,240,NE,cash_out_refinance,D,18,40k-75k,current,0,Highline Capital Servicing,2023-06-02,2025-09-04,complete,origination_sys_b
LN-94912100,BR-628153,conventional,2024-01-23,2033-12-01,366197.84,67604.95,3.935,120,OK,refinance,C,27,75k-120k,delinquent_30,40,Coastal Trust Servicing,2025-05-06,2025-08-01,complete,manual_spreadsheet
LN-51253434,BR-602166,conventional,2022-06-30,2052-01-24,144135.74,118595.47,5.479,360,MI,cash_out_refinance,B,1,120k+,current,0,Highline Capital Servicing,2024-07-31,2025-07-25,complete,origination_sys_b
LN-37737604,BR-944530,fha,2023-08-02,2043-04-19,257241.1,60086.48,3.828,240,VA,cash_out_refinance,D,4,<40k,delinquent_60,48,Meridian Loan Servicing,2024-08-30,2025-08-08,complete,origination_sys_a
LN-39624494,BR-538280,conventional,2020-05-25,2030-04-03,340175.74,57718.84,5.433,120,HI,cash_out_refinance,B,27,40k-75k,delinquent_30,34,Coastal Trust Servicing,2022-12-03,2026-02-14,missing,origination_sys_a
LN-66028396,BR-433246,jumbo,2020-07-05,2050-01-29,372570.3,80126.67,6.422,360,AL,cash_out_refinance,C,17,75k-120k,closed,0,Highline Capital Servicing,2021-09-20,2025-08-07,partial,origination_sys_a
LN-15208843,BR-104294,conventional,2020-11-19,2040-08-06,445139.01,96921.07,6.415,240,OR,purchase,C,23,40k-75k,current,0,Coastal Trust Servicing,2026-03-21,2025-10-31,missing,origination_sys_b
LN-12871630,BR-373732,va,2021-11-04,2041-07-22,561888.97,132300.75,5.819,240,DE,refinance,A,27,<40k,delinquent_60,54,Highline Capital Servicing,2022-12-07,2026-01-28,missing,origination_sys_a
LN-45943774,BR-616027,fha,2023-11-12,2053-06-07,382007.95,228768.84,6.381,360,HI,refinance,A,4,120k+,delinquent_60,49,Coastal Trust Servicing,2025-01-24,2025-11-23,partial,origination_sys_b
LN-81662631,BR-351822,va,2024-05-30,2053-12-24,298490.36,273994.29,5.668,360,UT,purchase,C,28,120k+,current,0,Highline Capital Servicing,2026-07-07,2026-06-23,complete,origination_sys_a
LN-51773676,BR-501801,jumbo,2024-04-25,2053-11-19,90901.1,69023.65,5.401,360,OK,refinance,D,22,40k-75k,closed,0,Meridian Loan Servicing,2026-04-06,2026-03-29,missing,manual_spreadsheet
LN-48562746,BR-789341,jumbo,2019-01-20,2038-10-07,319896.73,276444.24,8.052,240,VT,refinance,C,7,<40k,current,0,Meridian Loan Servicing,2020-01-19,2025-08-10,complete,manual_spreadsheet
LN-64920888,BR-364188,conventional,2022-10-02,2052-04-27,165012.36,144126.7,7.76,360,TX,cash_out_refinance,B,10,75k-120k,current,0,Highline Capital Servicing,2026-03-28,2025-10-10,partial,manual_spreadsheet
LN-87671609,BR-145861,jumbo,2019-07-10,2039-03-27,544529.65,432662.02,7.396,240,SC,purchase,B,15,120k+,current,0,Meridian Loan Servicing,2024-02-18,2026-05-20,partial,origination_sys_a
LN-59635706,BR-236385,conventional,2019-05-10,2039-01-25,453334.93,425905.36,3.558,240,HI,cash_out_refinance,D,27,120k+,delinquent_60,69,Meridian Loan Servicing,2020-03-11,2026-06-06,partial,origination_sys_b
LN-24848414,BR-614500,va,2020-05-08,2040-01-24,632982.68,574243.09,7.951,240,OK,purchase,D,30,75k-120k,current,0,Highline Capital Servicing,2020-12-16,2026-07-24,complete,origination_sys_b
LN-03675318,BR-487421,conventional,2020-11-10,2050-06-06,488495.1,313222.88,8.151,360,MT,purchase,D,26,40k-75k,current,0,Coastal Trust Servicing,2024-08-25,2025-09-22,complete,origination_sys_b
LN-50984591,BR-571368,jumbo,2019-04-06,2029-02-12,520122.75,294946.58,5.593,120,RI,cash_out_refinance,B,8,120k+,current,0,Highline Capital Servicing,2022-07-23,2025-06-03,partial,origination_sys_a
LN-79626236,BR-969563,conventional,2019-10-10,2049-05-05,423438.94,83217.89,7.304,360,OK,refinance,D,21,75k-120k,current,0,Highline Capital Servicing,2019-12-01,2025-05-27,missing,origination_sys_a
LN-61072534,BR-665263,va,2019-02-21,2048-09-16,162836.23,61924.0,6.965,360,AR,refinance,D,13,75k-120k,current,0,Coastal Trust Servicing,2019-09-29,2025-10-25,complete,manual_spreadsheet
LN-73571714,BR-909710,va,2020-05-29,2035-03-12,433720.17,124136.72,6.283,180,FL,purchase,C,0,75k-120k,delinquent_60,52,Highline Capital Servicing,2022-02-22,2024-10-17,complete,origination_sys_a
LN-75075957,BR-154386,va,2024-03-16,2043-12-02,420221.79,122867.89,5.304,240,IN,cash_out_refinance,D,17,<40k,current,0,Meridian Loan Servicing,2026-01-29,2026-02-07,partial,origination_sys_b
LN-27057554,BR-263009,conventional,2020-05-07,2035-02-18,626571.19,231725.66,6.635,180,IN,cash_out_refinance,B,27,120k+,current,0,Meridian Loan Servicing,2022-08-27,2025-12-15,missing,manual_spreadsheet
LN-30075522,BR-364065,conventional,2023-12-05,2053-06-30,448539.86,67824.41,7.28,360,PA,purchase,A,11,<40k,delinquent_30,32,Highline Capital Servicing,2026-02-17,2026-06-03,missing,origination_sys_b
LN-12778262,BR-898690,fha,2022-05-27,2032-04-04,240464.94,39030.53,4.116,120,AL,cash_out_refinance,D,17,<40k,current,0,Highline Capital Servicing,2023-07-31,2026-01-29,missing,manual_spreadsheet
