loan_id,document_status
LN-75620519,partial
LN-39346989,missing
LN-07924082,partial
LN-40492727,missing
LN-84279611,missing
LN-62037364,partial
LN-91828712,complete
,partial
LN-19240468,partial
LN-91794316,partial
LN-55707480,partial
LN-17011497,complete
LN-79681809,complete
LN-60361442,missing
LN-94908693,complete
LN-54968789,complete
LN-18941903,complete
LN-49019625,complete
LN-52017010,missing
LN-30761510,missing
LN-24811570,partial
LN-67764120,partial
LN-43518841,missing
LN-81232792,missing
LN-63467538,complete
LN-85715129,missing
LN-10096349,missing
LN-16230014,partial
LN-07118414,complete
LN-79744134,partial
LN-36674936,partial
LN-12871630,missing
LN-42256924,complete
LN-48495007,partial
LN-88016111,missing
LN-77454289,complete
LN-47009528,complete
LN-62165079,complete
LN-50297450,missing
LN-24552894,partial
LN-85913217,missing
LN-72972025,partial
LN-64218664,missing
LN-78026955,complete
LN-09008128,missing
LN-79943434,missing
LN-82618960,partial
LN-34823009,complete
LN-75075957,partial
LN-13036530,partial
LN-65660018,complete
LN-18789276,partial
LN-16348135,partial
LN-09351424,complete
LN-50326581,complete
LN-30441146,complete
LN-20942708,partial
LN-81824913,partial
LN-42458606,missing
LN-83781964,missing
LN-60397431,complete
LN-63955268,complete
LN-11668719,partial
LN-08208420,complete
LN-57061332,partial
LN-78612551,missing
LN-48401668,partial
LN-78894978,missing
LN-03281850,partial
LN-63188419,partial
LN-50883540,complete
LN-79626236,missing
LN-17904739,partial
LN-09376919,complete
LN-79729067,partial
LN-64902130,complete
LN-03009846,missing
LN-04340120,complete
LN-02321292,complete
LN-94890910,missing
LN-31514356,partial
LN-72039281,complete
LN-65210114,complete
,partial
LN-54441520,partial
LN-87626549,missing
LN-04720096,partial
LN-01314323,complete
LN-23341167,missing
LN-44098096,partial
LN-53569679,complete
LN-15208843,missing
LN-35235529,complete
LN-57880816,complete
LN-97639226,partial
LN-54947045,partial
LN-05627090,missing
LN-79242177,missing
LN-27232620,partial
LN-57489597,missing
LN-99120284,partial
LN-92192013,missing
LN-46763925,complete
LN-85249215,partial
LN-10822462,missing
LN-46690707,complete
LN-63229906,partial
LN-08937478,complete
LN-10175937,complete
LN-56969741,complete
LN-61645032,complete
LN-84397865,complete
LN-15634020,missing
LN-51253434,complete
LN-31517312,missing
LN-14404503,complete
LN-63162671,missing
LN-00887896,missing
LN-79441625,partial
LN-55626666,complete
LN-79569416,partial
LN-73160341,partial
LN-13518376,partial
LN-51081722,partial
LN-82980252,missing
LN-56248223,complete
LN-53762675,complete
LN-23508590,missing
LN-87422675,partial
LN-91597955,partial
LN-09792891,partial
LN-24558507,complete
LN-63930642,complete
LN-51302057,missing
LN-46382194,missing
LN-06416238,complete
LN-00432098,complete
LN-24872223,complete
LN-89128198,partial
LN-68863497,complete
LN-25389727,partial
,missing
LN-55720894,complete
LN-43668780,complete
LN-92002012,missing
LN-31887763,partial
LN-37699759,partial
LN-77420496,missing
LN-01652601,partial
LN-41493781,partial
LN-51743794,missing
LN-41193871,partial
LN-88885492,complete
LN-27029769,missing
LN-69638637,missing
LN-04945077,missing
LN-56693710,partial
LN-05365226,complete
LN-87778598,partial
LN-87581448,missing
LN-77964938,partial
LN-45178124,missing
LN-08541760,missing
LN-65246537,complete
LN-71776073,partial
LN-65292054,partial
LN-37496962,missing
LN-47449532,missing
,partial
LN-47855657,complete
LN-70382720,complete
LN-77400205,partial
LN-46873429,missing
LN-74133637,partial
LN-89362575,missing
LN-73267596,complete
LN-44728102,missing
LN-97117958,complete
LN-99130604,partial
LN-46635962,missing
LN-22474807,complete
LN-24477764,partial
LN-22735306,missing
LN-66415894,partial
LN-44089626,complete
LN-97840238,missing
LN-06484860,complete
LN-50580211,partial
LN-41392693,complete
LN-58398921,partial
LN-99577677,complete
,missing
LN-96015535,complete
LN-20625335,missing
LN-95261882,complete
LN-14679471,complete
LN-17369437,partial
LN-63045815,complete
LN-55207055,complete
LN-76547523,partial
LN-61124920,complete
LN-44912184,missing
LN-08748876,missing
LN-83856069,missing
LN-08752972,partial
LN-94743421,partial
LN-96715813,missing
LN-96009710,missing
LN-32053408,complete
LN-95330806,partial
LN-47907430,partial
LN-58581751,partial
LN-16057244,partial
LN-69679044,complete
LN-50984591,partial
LN-09549625,complete
LN-29138237,complete
LN-90084475,complete
LN-27938443,missing
LN-92557620,missing
LN-21301087,partial
LN-88289867,partial
LN-48340804,missing
LN-71716410,partial
LN-79391280,complete
LN-57452377,partial
LN-89849054,partial
LN-29383408,missing
LN-71541108,partial
LN-22990158,missing
LN-24041259,complete
LN-06405236,partial
LN-80278918,complete
LN-54833670,partial
LN-78150043,partial
LN-66028396,partial
LN-37773109,partial
LN-19663270,partial
LN-21554777,missing
LN-76226242,partial
LN-27739465,partial
LN-38478747,missing
LN-22043319,complete
LN-91371166,missing
LN-47944953,complete
LN-31283073,missing
LN-28245126,partial
LN-81662631,complete
LN-62386166,missing
LN-25107324,complete
,complete
LN-96235436,partial
LN-98828513,missing
LN-46471700,missing
LN-30838851,complete
LN-84007225,partial
LN-50525075,missing
,complete
LN-66338025,partial
LN-51817493,partial
LN-16134964,complete
LN-95042249,partial
LN-99047609,complete
LN-36021322,partial
LN-11481410,missing
LN-85518145,missing
LN-22585512,missing
LN-13960204,partial
LN-32313194,missing
LN-31265077,partial
LN-72084706,partial
LN-43250988,partial
LN-33269310,partial
LN-72723373,missing
LN-86166268,partial
LN-24446338,partial
LN-27440346,complete
LN-87475160,missing
LN-10565319,complete
LN-02404350,missing
LN-77264365,partial
LN-54139822,missing
LN-48762686,partial
LN-25871808,partial
LN-08020811,partial
LN-23227777,missing
LN-03494730,complete
LN-13250636,missing
LN-74969379,missing
LN-25647510,missing
LN-96293359,complete
LN-98299414,missing
LN-03278471,missing
LN-24467826,partial
LN-02351151,missing
LN-80402501,partial
LN-24095497,complete
LN-71772138,partial
LN-59034913,missing
LN-28468317,partial
LN-99486376,partial
LN-72648305,complete
LN-43191814,partial
LN-27438170,missing
LN-57094311,missing
LN-56167861,partial
LN-14264210,complete
LN-91803744,complete
LN-84637805,missing
LN-02997335,complete
LN-64633514,partial
LN-09329337,complete
LN-81770762,partial
LN-32346918,missing
LN-72705915,partial
LN-21694664,complete
LN-25487139,missing
LN-55694340,partial
LN-39624494,missing
LN-96756265,partial
LN-33227763,complete
LN-66848603,complete
LN-00794790,complete
LN-96946663,missing
,partial
LN-27036085,missing
LN-22606815,complete
LN-71919223,complete
LN-13014896,partial
LN-96766285,missing
LN-24667770,complete
LN-91231433,missing
LN-89017115,complete
LN-97781252,partial
LN-85733168,missing
LN-76471761,complete
LN-98110601,missing
LN-88340994,partial
LN-38913031,missing
LN-83022026,complete
LN-93372731,missing
LN-48003514,complete
LN-61072534,complete
LN-37047525,missing
LN-65097622,partial
LN-67339988,complete
LN-58685702,complete
LN-62513307,missing
LN-77262273,missing
LN-94912100,complete
LN-39674772,partial
LN-40732489,missing
LN-09712046,complete
LN-11820302,complete
LN-01749321,missing
LN-22020201,complete
LN-79899890,partial
LN-63720449,partial
LN-49320083,partial
LN-76822388,complete
LN-33594113,missing
LN-12778262,missing
LN-76626406,complete
LN-53502586,partial
LN-13673827,missing
LN-40511416,complete
LN-77352657,missing
LN-99412737,missing
LN-31269406,complete
,complete
LN-42647657,partial
LN-97238572,complete
LN-31450935,partial
LN-93424052,partial
LN-35372030,partial
LN-78458145,partial
LN-03029344,missing
LN-69792730,complete
LN-39033128,missing
LN-86197217,missing
LN-71458945,missing
LN-35022912,missing
LN-30481894,missing
LN-98289481,partial
LN-75136909,missing
LN-73034144,complete
LN-50572961,partial
LN-34928954,complete
LN-73329351,complete
LN-14050828,complete
LN-54650738,complete
LN-52638765,partial
LN-70998434,partial
LN-89680713,missing
LN-16744606,missing
LN-38162991,missing
LN-47842507,missing
LN-59635706,partial
LN-21073494,partial
LN-15485475,missing
LN-93234949,complete
LN-72719442,complete
LN-12948610,complete
LN-17573454,missing
LN-51998170,partial
LN-18692644,missing
LN-34009063,missing
LN-35491332,partial
,partial
LN-46852737,complete
LN-08467944,missing
LN-90510074,partial
LN-43274270,partial
LN-16282621,missing
LN-39786035,missing
LN-24700819,partial
LN-22343959,missing
LN-26845862,complete
LN-93286999,complete
LN-07358695,complete
,missing
LN-10401098,complete
LN-91026314,missing
LN-53615580,partial
LN-98567629,partial
LN-92865260,complete
LN-06675857,missing
LN-19164330,complete
LN-38950058,partial
LN-48780025,partial
LN-49537502,partial
LN-95341533,missing
LN-51845789,missing
LN-72003541,missing
LN-31420223,complete
LN-48663708,missing
LN-15008811,partial
LN-25253806,partial
LN-79551984,complete
LN-78087613,missing
LN-07148976,complete
LN-14854490,missing
LN-58171826,partial
LN-45919260,complete
LN-40599566,complete
LN-73923299,complete
LN-41636600,missing
LN-90716360,complete
LN-91943528,missing
LN-79919556,missing
LN-71520836,missing
LN-40662796,partial
LN-62006213,partial
LN-27823072,partial
LN-98403166,complete
LN-26954208,missing
LN-46678632,missing
LN-02072613,partial
LN-49374428,missing
LN-29564627,missing
LN-45955947,partial
LN-29726813,partial
LN-91797737,partial
LN-31103012,missing
LN-86215310,complete
LN-09773710,partial
LN-71782026,missing
LN-60745786,complete
LN-16836321,missing
LN-19105728,complete
LN-34787443,partial
LN-80304347,partial
LN-89506177,missing
LN-84014988,partial
LN-61368641,partial
LN-73571714,complete
LN-25490213,partial
LN-84119896,complete
LN-76446442,complete
LN-01648185,partial
LN-06907572,missing
LN-05874674,complete
LN-06725320,complete
LN-63498057,missing
LN-74035654,missing
LN-06653091,complete
LN-41656216,partial
LN-05052908,partial
LN-05691368,missing
LN-01995795,complete
LN-95617730,partial
LN-43657586,partial
LN-41990674,missing
LN-97888084,complete
LN-34091720,partial
LN-91143313,missing
LN-29024180,complete
LN-46642971,partial
LN-61806834,missing
LN-50918218,partial
LN-62453646,complete
LN-83851548,complete
LN-51890831,partial
LN-10475050,complete
LN-31405375,complete
LN-45227746,partial
LN-75569864,complete
LN-77179243,partial
LN-30260090,missing
LN-05788345,partial
LN-49247917,complete
LN-07408471,complete
LN-09740926,partial
LN-48498954,complete
LN-76448206,missing
LN-91648579,complete
LN-48272169,complete
LN-68226851,complete
LN-18851844,complete
LN-30491639,missing
LN-11795436,partial
LN-39619328,partial
LN-93126599,partial
LN-41153058,partial
LN-73201968,complete
LN-01467096,partial
LN-95351595,partial
LN-85866041,missing
LN-31311979,missing
LN-28901382,complete
LN-76394443,partial
LN-75980185,partial
LN-05512024,complete
LN-80016011,partial
LN-19368882,partial
LN-94400156,missing
LN-20120001,missing
LN-44092991,complete
LN-64157373,complete
LN-27385988,partial
LN-87056007,partial
LN-10418764,partial
LN-73560094,missing
LN-20356214,complete
LN-44003814,complete
LN-28039777,partial
LN-68325357,missing
LN-19646025,partial
LN-67414358,complete
LN-01621567,partial
LN-91437362,missing
LN-20910367,partial
LN-44575175,missing
LN-07231557,missing
LN-08307127,complete
LN-90538662,complete
,partial
LN-21929699,missing
LN-84674840,partial
LN-98564924,missing
LN-51339950,partial
LN-39605649,partial
LN-74052918,complete
LN-36238474,partial
LN-22449515,complete
LN-70579335,complete
LN-75188639,partial
LN-07009740,complete
LN-15687908,missing
LN-35985959,missing
LN-63876233,complete
LN-04461778,missing
LN-59157476,missing
LN-22418050,complete
LN-04338926,complete
LN-02835844,partial
LN-32858595,missing
LN-94771873,missing
LN-95509268,missing
LN-92069293,missing
LN-35268992,complete
LN-48065394,missing
LN-84978487,complete
LN-13854025,partial
LN-35407010,partial
LN-28690939,missing
LN-75925917,missing
LN-74276806,partial
,missing
LN-13294139,missing
LN-90852780,partial
LN-37737604,complete
LN-53859093,complete
LN-02381282,partial
LN-95239967,missing
LN-93898082,complete
LN-54992629,partial
LN-43369748,complete
LN-10424531,complete
LN-26862113,missing
LN-76948253,complete
LN-87811816,partial
LN-92638223,missing
LN-22879452,partial
LN-52442258,complete
LN-96145298,partial
LN-32659889,partial
LN-06716060,partial
LN-27264496,complete
LN-67138756,missing
LN-52582043,complete
LN-60946188,complete
LN-99876570,missing
LN-72439828,complete
LN-01049763,complete
LN-01908250,partial
LN-41102795,missing
LN-48561877,complete
LN-85344754,partial
LN-69146651,missing
LN-29553552,missing
LN-06983055,missing
LN-01577530,complete
LN-87654593,complete
LN-86535587,complete
LN-44773352,partial
LN-43067823,complete
LN-54182643,complete
LN-29854339,missing
LN-21146005,complete
LN-20756690,complete
LN-27317856,partial
LN-57358921,missing
LN-19610427,complete
LN-62345811,missing
LN-68059612,partial
LN-69997294,complete
LN-26287134,partial
,complete
LN-32298266,partial
LN-53549843,missing
LN-96881207,missing
LN-25962316,partial
LN-38727223,partial
LN-70220093,complete
LN-89994241,partial
LN-66138741,missing
LN-86521479,complete
LN-16083313,partial
LN-05044875,partial
LN-92035675,missing
LN-53161833,complete
LN-72652284,missing
LN-89804460,partial
LN-52606477,partial
LN-19552099,complete
LN-71050693,complete
LN-75530797,missing
LN-85843311,complete
LN-56873887,missing
LN-41852232,missing
LN-71332302,complete
LN-85035540,complete
LN-87894415,missing
LN-32452006,partial
LN-24558187,partial
LN-54541294,partial
LN-33641199,missing
LN-29496563,partial
LN-31046505,partial
LN-83334299,missing
LN-42447579,partial
LN-83388913,missing
LN-17181582,partial
LN-62589142,missing
LN-70296702,partial
LN-53727801,missing
LN-09487469,missing
LN-50940562,missing
LN-24291870,missing
LN-48663708,complete
LN-69266273,partial
LN-27653994,complete
LN-39426882,complete
LN-85501710,complete
LN-36234563,missing
LN-81827686,complete
LN-45943774,partial
LN-69039728,complete
LN-83308783,partial
LN-70883785,complete
LN-20540756,complete
LN-42673817,missing
LN-13848952,complete
LN-36535673,missing
LN-01697281,missing
LN-82092630,missing
LN-95639376,partial
,partial
LN-54832763,complete
LN-10774643,partial
LN-96345702,complete
LN-43394476,complete
LN-03675318,complete
LN-53919748,partial
LN-82018120,complete
LN-76035989,missing
LN-66058053,complete
LN-99216693,complete
LN-79239649,missing
LN-86886421,partial
LN-53542596,missing
LN-15782913,complete
LN-28092292,partial
LN-64932071,complete
LN-74367158,complete
LN-66861485,missing
LN-25344678,partial
LN-88293005,partial
LN-48691866,partial
LN-43564887,missing
LN-47635459,partial
LN-90210669,missing
LN-62907140,partial
LN-57009001,complete
LN-74728458,missing
LN-10435426,complete
LN-45011180,partial
LN-48176908,complete
LN-55992950,partial
LN-50125118,partial
LN-65040037,complete
LN-08423854,missing
LN-10093148,partial
LN-60186575,partial
LN-24015817,partial
LN-02929411,complete
LN-79067256,complete
LN-58508668,partial
LN-32920397,complete
LN-51708255,missing
LN-29179669,complete
LN-07436390,missing
LN-83174835,missing
LN-07070343,missing
LN-88466306,missing
LN-90220957,partial
LN-81092064,partial
LN-09540712,missing
LN-86718460,missing
LN-64846891,complete
LN-17214693,partial
LN-39809047,complete
LN-48562746,complete
LN-95460786,partial
LN-04016027,missing
LN-95718354,missing
LN-23089040,complete
LN-78684637,missing
LN-09821733,partial
LN-08425211,missing
LN-28479517,partial
LN-52206298,partial
LN-72495243,complete
LN-10456189,complete
LN-32466456,complete
LN-91810458,missing
LN-86142507,complete
LN-91656524,partial
LN-62795594,missing
LN-06412207,missing
LN-76145207,complete
LN-71663571,complete
LN-89609331,partial
LN-71463282,missing
LN-27612360,partial
LN-16919540,complete
LN-99538533,partial
LN-83921283,partial
LN-00223832,complete
LN-52900824,missing
LN-10809149,partial
LN-49155038,partial
LN-23562644,complete
LN-32319269,missing
LN-15107406,missing
LN-98668471,complete
LN-87787235,missing
LN-94583655,complete
LN-34261465,complete
LN-08215294,partial
LN-71176252,complete
LN-66274153,complete
LN-11836281,complete
LN-91023779,partial
LN-15509941,partial
LN-77509745,partial
LN-82405865,missing
LN-57747761,partial
LN-49516645,missing
LN-74116919,missing
LN-21367476,missing
LN-96739752,missing
LN-94619152,partial
LN-03490158,missing
LN-19649896,missing
LN-30102838,partial
LN-29510531,complete
LN-73043277,partial
LN-23911737,complete
LN-10956489,missing
LN-69130086,partial
LN-99601011,missing
LN-89513792,partial
LN-62341570,missing
LN-45851001,partial
LN-55011372,partial
LN-94466291,complete
LN-12973669,missing
LN-47328363,partial
LN-68720322,partial
LN-81759563,complete
LN-36067275,partial
LN-34103427,missing
LN-04196053,partial
LN-20693330,partial
LN-50239760,missing
LN-79678576,partial
LN-29723574,complete
LN-06206148,partial
LN-38526728,missing
LN-86729676,complete
LN-77075905,partial
LN-32531575,complete
LN-84858941,partial
LN-86128687,missing
LN-62305396,partial
LN-56132796,missing
LN-03407777,complete
LN-03017047,partial
LN-10026845,missing
LN-96469366,missing
LN-49066931,partial
LN-85691962,missing
LN-91057481,partial
LN-86195857,missing
LN-54817187,missing
LN-97395189,complete
LN-84907483,partial
LN-78115114,partial
LN-06420146,missing
LN-67014290,partial
LN-75819731,partial
LN-98423851,missing
LN-12974864,complete
LN-79000213,missing
LN-81064312,complete
LN-05645805,missing
LN-18483477,missing
LN-01259003,complete
LN-65654825,partial
LN-15750442,missing
LN-01353082,partial
LN-70704032,missing
LN-81234382,complete
LN-50530064,missing
LN-85681557,complete
LN-06878856,missing
LN-27716934,partial
LN-64920888,partial
LN-31799906,missing
LN-34641643,complete
LN-29672495,missing
LN-27911209,missing
LN-39311941,missing
LN-86802729,complete
LN-93929698,complete
LN-66799008,complete
LN-87951724,missing
LN-75947076,complete
LN-32121417,partial
LN-82651355,missing
LN-89601427,complete
LN-81727614,partial
LN-11995540,complete
LN-58904600,missing
LN-27057554,missing
LN-61848033,complete
LN-78602152,missing
LN-61957606,complete
LN-11287574,complete
LN-44864264,missing
LN-57843306,partial
LN-03673626,missing
LN-58820169,missing
LN-88869644,missing
LN-68880895,complete
LN-85188272,complete
LN-58808009,complete
LN-31175221,complete
LN-62432683,complete
LN-09779922,missing
LN-36428581,complete
LN-75380853,partial
LN-42297571,missing
LN-37888939,missing
LN-70726182,missing
,partial
LN-49167531,missing
LN-43981332,complete
LN-90830075,complete
LN-37097836,missing
LN-10155876,partial
LN-47077509,complete
LN-15159378,missing
LN-18709661,missing
LN-52279549,missing
LN-34197298,partial
LN-51902377,partial
LN-45529729,complete
LN-24201280,complete
LN-23490487,partial
LN-33690972,complete
LN-79524900,missing
LN-05537536,complete
LN-07393920,partial
LN-45916049,missing
LN-29437500,missing
LN-96982033,complete
LN-60705304,complete
LN-17995524,missing
LN-08549238,partial
LN-86825162,complete
LN-37783454,missing
LN-99471802,missing
LN-02910559,partial
LN-15168849,missing
LN-85755328,missing
,complete
LN-43598169,missing
LN-77497949,partial
LN-04775925,partial
